nome_logradouro
1Tr Frei Damiao
Trv Compositor Raul Valenca
Av  Engenho Babilonia
Av  Fernando Simoes Barbosa
Av  Mauricio De Nassau
Av  Raimundo Diniz
Av  Saldanha Marinho
Av Dr Eurico Chaves
Av Engenheiro Domingos Ferreira
Av Professor Artur De Sa
Av Professor Joao Medeiros
Est  Mumbeca
Est  Ubaias
Prc  Farias Neves
Prc  Redencao
Rua  Adolfo Celso
Rua  Alexandrina
Rua  Alfredo De Medeiros
Rua  Alfredo Pereira Borba
Rua  Amaro Coutinho
Rua  Amazonas
Rua  Angelica
Rua  Antonio Machado Gomes Da Silva
Rua  Arantina
Rua  Arnobio Marques
Rua  Arnoldo Magalhaes
Rua  Arthur Lopes
Rua  Bambui
Rua  Buritis
Rua  Cafesopolis
Rua  Camboim
Rua  Camocim
Rua  Camponesa
Rua  Canal
Rua  Canapolis
Rua  Candido Lacerda
Rua  Casa Amarela
Rua  Conceicao
Rua  Condado
Rua  Cupertino Cintra
Rua  Cupim
Rua  Dez De Julho
Rua  Dezesseis De Julho
Rua  Duarte Filho
Rua  Engenho Bulhoes
Rua  Estevao De Sa
Rua  Felipe Guerra
Rua  Francisco Lacerda
Rua  Gervasio Pires
Rua  Goncalves Dias
Rua  Guerra Junqueiro
Rua  Ibipituba
Rua  Itapecerica
Rua  Itaquice
Rua  Jack Ayres
Rua  Jemil Asfora
Rua  Joao Pereira De Melo
Rua  Joao Xavier Pedrosa
Rua  Joaquim Bandeira
Rua  Jose Antonio Da Costa Filho
Rua  Jose Austregesilo
Rua  Jose Bezerra Cavalcante
Rua  Jose Luiz De O Barros Sobrinho
Rua  Jose Luiz Teixeira Leite
Rua  Joseph Turton
Rua  Laura Campelo
Rua  Leoncio Rodrigues
Rua  Machado
Rua  Machado De Assis
Rua  Mandaguacu
Rua  Manoel Estevao Da Costa
Rua  Marques Amorim
Rua  Miravania
Rua  Mocas
Rua  Nova Milano
Rua  Numa Pompilho
Rua  Paquevira
Rua  Paraguassu
Rua  Paulo De Paula Lopes
Rua  Paulo Setubal
Rua  Pedro Afonso
Rua  Potengy
Rua  Principe
Rua  Rangel
Rua  Regueira Costa
Rua  Rio Madeira
Rua  Rio Maju
Rua  Rocha Pombo
Rua  Sebastiao Alves
Rua  Serra Da Canastra
Rua  Sideral
Rua  Sindicato Dos Bancarios
Rua  Souza De Andrade
Rua  Sueli Luna Menelau
Rua  Tabeliao Joao Roma
Rua  Tamboril
